Sequence #,Freq (MHz),Modulation,BW (Hz),SF,Coding Rate,ADR,Time,Chan,RSSI (dBm),SNR (dB)
6422,867.25,LoRa,125,SF10,4/5,on,2015-07-06 13:40:20,3,-122,-8.2
6414,868.75,LoRa,125,SF11,4/5,on,2015-07-06 13:40:13,3,-122,-11.5
6386,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:39:48,3,-122,-10.5
6358,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:39:23,3,-124,-11.5
6350,869.4,LoRa,125,SF12,4/5,on,2015-07-06 13:39:15,3,-121,-10.8
6316,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:38:45,0,-120,-10
6298,869.25,LoRa,125,SF8,4/5,on,2015-07-06 13:38:28,3,-121,-6.8
6278,867.75,LoRa,125,SF7,4/5,on,2015-07-06 13:38:09,3,-120,-6
6274,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:38:07,3,-124,-11.5
6266,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:37:59,3,-124,-13.2
6224,867.5,LoRa,125,SF12,4/5,on,2015-07-06 13:37:21,0,-122,-6
6204,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:37:04,0,-120,-6.2
6126,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:35:53,3,-124,-11.8
6120,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:35:48,0,-121,-15.5
6106,867.5,LoRa,125,SF11,4/5,on,2015-07-06 13:35:35,3,-124,-14
6056,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:34:50,0,-121,-13.2
5902,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:32:30,3,-124,-8.8
5888,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:32:18,0,-121,-11.8
5882,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:32:13,3,-124,-13.8
5854,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:31:48,3,-124,-11.5
5832,867.5,LoRa,125,SF12,4/5,on,2015-07-06 13:31:27,0,-121,-16
5826,869.4,LoRa,125,SF11,4/5,on,2015-07-06 13:31:22,3,-124,-14.8
5818,867.5,LoRa,125,SF12,4/5,on,2015-07-06 13:31:15,3,-122,-15
5804,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:31:02,0,-120,-11.8
5748,867.75,LoRa,125,SF12,4/5,on,2015-07-06 13:30:11,0,-121,-15.2
5734,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:29:59,3,-124,-14.8
5720,867.25,LoRa,125,SF12,4/5,on,2015-07-06 13:29:46,0,-121,-13.8
5706,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:29:33,3,-122,-10.5
5682,867.1,LoRa,125,SF8,4/5,on,2015-07-06 13:29:12,3,-122,-10.2
5678,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:29:08,3,-122,-13.8
5652,867.1,LoRa,125,SF10,4/5,on,2015-07-06 13:28:45,0,-121,-11.8
5640,867.9,LoRa,125,SF8,4/5,on,2015-07-06 13:28:34,0,-121,-10.2
5546,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:27:09,3,-124,-14
5462,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:25:54,3,-122,-9.8
5436,867.9,LoRa,125,SF9,4/5,on,2015-07-06 13:25:30,0,-122,-10.2
5426,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:25:21,3,-121,-11.5
5384,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:24:43,0,-122,-16
5370,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:24:30,3,-122,-11
5288,867.1,LoRa,125,SF10,4/5,on,2015-07-06 13:23:16,0,-122,-7.8
5262,867.9,LoRa,125,SF8,4/5,on,2015-07-06 13:22:52,3,-122,-9
5258,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:22:49,3,-124,-7
5244,867.5,LoRa,125,SF12,4/5,on,2015-07-06 13:22:36,0,-124,-9.8
5230,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:22:24,3,-122,-11.2
5198,867.1,LoRa,125,SF9,4/5,on,2015-07-06 13:21:55,3,-122,-6.2
5154,867.75,LoRa,125,SF11,4/5,on,2015-07-06 13:21:15,3,-121,-9
5146,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:21:08,3,-122,-11.5
5112,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:20:38,0,-124,-11.5
4930,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:17:53,3,-124,-13.8
4908,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:17:33,0,-121,-11.2
4902,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:17:28,3,-122,-13.2
4898,867.1,LoRa,125,SF8,4/5,on,2015-07-06 13:17:24,3,-122,-9.8
4896,867.1,LoRa,125,SF10,4/5,on,2015-07-06 13:17:22,0,-121,-9
4850,867.1,LoRa,125,SF7,4/5,on,2015-07-06 13:16:40,3,-122,-3.5
4838,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:16:30,3,-124,-11.2
4818,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:16:12,3,-124,-8.2
4804,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:15:59,0,-120,-10.2
4782,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:15:39,3,-124,-6
4736,867.9,LoRa,125,SF9,4/5,on,2015-07-06 13:14:58,0,-122,-11.8
4710,867.9,LoRa,125,SF7,4/5,on,2015-07-06 13:14:34,3,-122,-5.5
4698,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:14:23,3,-121,-7.8
4668,867.1,LoRa,125,SF7,4/5,on,2015-07-06 13:13:56,0,-121,-5
4650,869.25,LoRa,125,SF11,4/5,on,2015-07-06 13:13:40,3,-122,-8
4622,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:13:15,3,-122,-5.8
4608,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:13:03,0,-121,-5
4604,868.6,LoRa,125,SF8,4/5,on,2015-07-06 13:12:58,0,-119,-3.5
4598,867.9,LoRa,125,SF7,4/5,on,2015-07-06 13:12:52,3,-120,-3
4596,867.9,LoRa,125,SF9,4/5,on,2015-07-06 13:12:51,0,-121,-3
4594,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:12:50,3,-122,-7
4590,867.9,LoRa,125,SF8,4/5,on,2015-07-06 13:12:46,3,-121,-7.5
4586,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:12:42,3,-124,-7.5
4580,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:12:37,0,-124,-4.8
4556,867.1,LoRa,125,SF7,4/5,on,2015-07-06 13:12:14,0,-122,-8.5
4554,867.1,LoRa,125,SF9,4/5,on,2015-07-06 13:12:13,3,-124,-10.5
4542,867.9,LoRa,125,SF7,4/5,on,2015-07-06 13:12:02,3,-122,-7.8
4540,869.25,LoRa,125,SF9,4/5,on,2015-07-06 13:12:01,0,-121,-11.2
4516,869.25,LoRa,125,SF12,4/5,on,2015-07-06 13:11:39,0,-122,-6.8
4502,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:11:26,3,-124,-11.8
4482,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:11:09,3,-122,-9.5
4474,867.25,LoRa,125,SF12,4/5,on,2015-07-06 13:11:01,3,-120,-12.5
4446,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:10:36,3,-121,-14.8
4440,868.75,LoRa,125,SF11,4/5,on,2015-07-06 13:10:31,0,-122,-6.2
4408,867.75,LoRa,125,SF8,4/5,on,2015-07-06 13:10:01,0,-121,-10
4404,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:09:58,0,-121,-15.2
4390,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:09:45,3,-122,-15.2
4384,868.75,LoRa,125,SF11,4/5,on,2015-07-06 13:09:40,0,-122,-9.5
4370,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:09:28,3,-121,-11
4362,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:09:20,3,-124,-5.2
4356,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:09:15,0,-121,-11
4328,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:08:50,0,-122,-8.8
4322,867.9,LoRa,125,SF10,4/5,on,2015-07-06 13:08:44,3,-119,-1.2
4314,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:08:37,3,-121,-3.2
4308,867.9,LoRa,125,SF10,4/5,on,2015-07-06 13:08:32,0,-122,-10
4300,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:08:24,0,-122,-12.8
4292,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:08:17,0,-122,-13.8
4252,867.1,LoRa,125,SF10,4/5,on,2015-07-06 13:07:41,0,-121,-9.8
4248,869.25,LoRa,125,SF7,4/5,on,2015-07-06 13:07:36,0,-121,-3.2
4246,867.9,LoRa,125,SF9,4/5,on,2015-07-06 13:07:35,3,-122,-6
4238,867.9,LoRa,125,SF10,4/5,on,2015-07-06 13:07:28,3,-121,-2.5
4236,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:07:26,0,-120,-6.2
4226,867.9,LoRa,125,SF8,4/5,on,2015-07-06 13:07:17,3,-120,-3.8
4224,867.9,LoRa,125,SF10,4/5,on,2015-07-06 13:07:16,0,-121,-7.5
4220,867.9,LoRa,125,SF7,4/5,on,2015-07-06 13:07:11,0,-121,-6
4218,867.9,LoRa,125,SF9,4/5,on,2015-07-06 13:07:10,3,-122,-10.2
4216,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:07:09,0,-120,-9.5
4202,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:06:56,3,-124,-6
4194,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:06:48,3,-120,-4.8
4190,867.9,LoRa,125,SF9,4/5,on,2015-07-06 13:06:45,3,-122,-7.2
4180,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:06:36,0,-121,-9.5
4174,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:06:31,3,-118,-9.5
4162,867.9,LoRa,125,SF9,4/5,on,2015-07-06 13:06:20,3,-122,-9.2
4152,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:06:10,0,-122,-4
4146,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:06:05,3,-124,-12.2
4138,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:05:58,3,-122,-3.2
4134,867.9,LoRa,125,SF9,4/5,on,2015-07-06 13:05:54,3,-121,-3.2
4132,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:05:53,0,-124,-8.5
4124,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:05:45,0,-122,-8.8
4104,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:05:27,0,-122,-11.5
4096,867.1,LoRa,125,SF12,4/5,on,2015-07-06 13:05:20,0,-122,-6.8
4090,867.9,LoRa,125,SF11,4/5,on,2015-07-06 13:05:15,3,-122,-10
4082,867.9,LoRa,125,SF12,4/5,on,2015-07-06 13:05:07,3,-121,-3.8
4075,867.3,LoRa,125,SF12,4/5,on,2015-07-06 13:05:01,1,-121,-11.5
4072,867.1,LoRa,125,SF8,4/5,on,2015-07-06 13:04:58,0,-122,-7.2
4050,867.9,LoRa,125,SF9,4/5,on,2015-07-06 13:04:38,3,-122,-7.8
4048,867.1,LoRa,125,SF11,4/5,on,2015-07-06 13:04:37,0,-121,-12
