Sequence #,Freq (MHz),Modulation,BW (Hz),SF,Coding Rate,ADR,Time,Chan,RSSI (dBm),SNR (dB)
1386,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:07:37,8,-91,10
1385,868.1,LoRa,125,SF7,4/5,on,2015-07-08 09:07:37,0,-91,11
1384,868.5,LoRa,125,SF8,4/5,on,2015-07-08 09:07:36,2,-85,9
1383,867.5,LoRa,125,SF9,4/5,on,2015-07-08 09:07:36,5,-92,8.5
1381,868.3,LoRa,125,SF11,4/5,on,2015-07-08 09:07:34,1,-87,12.8
1380,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:07:33,3,-85,12
1379,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:07:31,8,-92,9.8
1378,867.7,LoRa,125,SF7,4/5,on,2015-07-08 09:07:30,6,-91,10
1377,868.3,LoRa,125,SF8,4/5,on,2015-07-08 09:07:30,1,-88,11
1376,867.1,LoRa,125,SF9,4/5,on,2015-07-08 09:07:29,3,-94,12.2
1374,867.7,LoRa,125,SF11,4/5,on,2015-07-08 09:07:28,6,-84,13.5
1373,868.1,LoRa,125,SF12,4/5,on,2015-07-08 09:07:26,0,-95,5.8
1372,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:07:24,8,-93,9.8
1371,867.5,LoRa,125,SF7,4/5,on,2015-07-08 09:07:24,5,-94,8.2
1370,867.9,LoRa,125,SF8,4/5,on,2015-07-08 09:07:23,7,-96,11
1369,868.1,LoRa,125,SF9,4/5,on,2015-07-08 09:07:23,0,-92,11.2
1367,867.5,LoRa,125,SF11,4/5,on,2015-07-08 09:07:21,5,-96,10.2
1366,867.9,LoRa,125,SF12,4/5,on,2015-07-08 09:07:20,7,-81,12.2
1365,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:07:18,8,-86,10
1364,867.1,LoRa,125,SF7,4/5,on,2015-07-08 09:07:18,3,-102,8.5
1362,867.9,LoRa,125,SF9,4/5,on,2015-07-08 09:07:17,7,-98,11.8
1360,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:07:15,3,-89,10.5
1359,867.3,LoRa,125,SF12,4/5,on,2015-07-08 09:07:14,4,-116,12.8
1358,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:07:12,8,-94,9.2
1357,868.3,LoRa,125,SF7,4/5,on,2015-07-08 09:07:11,1,-90,9.8
1355,867.3,LoRa,125,SF9,4/5,on,2015-07-08 09:07:10,4,-100,13.2
1353,868.1,LoRa,125,SF11,4/5,on,2015-07-08 09:07:09,0,-88,12
1352,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:07:08,3,-97,11
1351,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:07:05,8,-89,9.5
1350,867.9,LoRa,125,SF7,4/5,on,2015-07-08 09:07:05,7,-97,9.2
1348,868.5,LoRa,125,SF9,4/5,on,2015-07-08 09:07:04,2,-96,8.8
1346,867.7,LoRa,125,SF11,4/5,on,2015-07-08 09:07:02,6,-100,10.5
1345,868.3,LoRa,125,SF12,4/5,on,2015-07-08 09:07:01,1,-115,4.2
1344,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:06:59,8,-92,10.8
1343,867.3,LoRa,125,SF7,4/5,on,2015-07-08 09:06:59,4,-105,9
1341,868.3,LoRa,125,SF9,4/5,on,2015-07-08 09:06:58,1,-112,11.8
1339,867.3,LoRa,125,SF11,4/5,on,2015-07-08 09:06:56,4,-94,11.5
1338,867.9,LoRa,125,SF12,4/5,on,2015-07-08 09:06:55,7,-94,10.8
1337,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:06:53,8,-92,8.2
1336,868.5,LoRa,125,SF7,4/5,on,2015-07-08 09:06:52,2,-100,7.8
1335,867.3,LoRa,125,SF8,4/5,on,2015-07-08 09:06:52,4,-98,10
1334,867.7,LoRa,125,SF9,4/5,on,2015-07-08 09:06:51,6,-104,11.5
1332,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:06:50,3,-97,11
1331,867.5,LoRa,125,SF12,4/5,on,2015-07-08 09:06:49,5,-108,10
1330,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:06:46,8,-107,8.8
1329,868.3,LoRa,125,SF7,4/5,on,2015-07-08 09:06:46,1,-96,9.8
1327,867.3,LoRa,125,SF9,4/5,on,2015-07-08 09:06:45,4,-98,11.8
1325,868.3,LoRa,125,SF11,4/5,on,2015-07-08 09:06:44,1,-99,11
1324,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:06:42,3,-90,11.2
1323,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:06:40,8,-101,6.2
1322,867.9,LoRa,125,SF7,4/5,on,2015-07-08 09:06:40,7,-100,10
1321,868.1,LoRa,125,SF8,4/5,on,2015-07-08 09:06:39,0,-98,11.5
1320,867.1,LoRa,125,SF9,4/5,on,2015-07-08 09:06:39,3,-100,9.8
1318,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:06:37,7,-103,9.2
1317,868.1,LoRa,125,SF12,4/5,on,2015-07-08 09:06:36,0,-114,2.8
1316,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:06:34,8,-98,9
1315,867.3,LoRa,125,SF7,4/5,on,2015-07-08 09:06:33,4,-91,9.2
1314,867.9,LoRa,125,SF8,4/5,on,2015-07-08 09:06:33,7,-98,10.8
1313,868.3,LoRa,125,SF9,4/5,on,2015-07-08 09:06:32,1,-109,10.8
1312,868.5,LoRa,125,SF10,4/5,on,2015-07-08 09:06:32,2,-97,6.2
1311,867.3,LoRa,125,SF11,4/5,on,2015-07-08 09:06:31,4,-99,10
1309,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:06:28,8,-97,5
1308,867.1,LoRa,125,SF7,4/5,on,2015-07-08 09:06:27,3,-101,10.8
1307,867.3,LoRa,125,SF8,4/5,on,2015-07-08 09:06:27,4,-108,11.5
1306,867.9,LoRa,125,SF9,4/5,on,2015-07-08 09:06:26,7,-104,13
1305,868.3,LoRa,125,SF10,4/5,on,2015-07-08 09:06:25,1,-90,8
1304,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:06:25,3,-103,12
1302,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:06:21,8,-102,8
1301,868.1,LoRa,125,SF7,4/5,on,2015-07-08 09:06:21,0,-103,9.5
1299,867.5,LoRa,125,SF9,4/5,on,2015-07-08 09:06:20,5,-112,6.5
1297,868.1,LoRa,125,SF11,4/5,on,2015-07-08 09:06:18,0,-106,10.2
1296,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:06:17,3,-104,11
1295,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:06:15,8,-95,9.5
1294,867.7,LoRa,125,SF7,4/5,on,2015-07-08 09:06:14,6,-101,9.5
1293,868.3,LoRa,125,SF8,4/5,on,2015-07-08 09:06:14,1,-92,10.5
1292,867.1,LoRa,125,SF9,4/5,on,2015-07-08 09:06:13,3,-100,12
1290,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:06:12,7,-98,12.8
1289,868.1,LoRa,125,SF12,4/5,on,2015-07-08 09:06:11,0,-126,2
1288,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:06:09,8,-104,6.8
1287,867.3,LoRa,125,SF7,4/5,on,2015-07-08 09:06:08,4,-112,7.8
1285,868.1,LoRa,125,SF9,4/5,on,2015-07-08 09:06:07,0,-106,12.8
1283,867.5,LoRa,125,SF11,4/5,on,2015-07-08 09:06:06,5,-97,8.2
1282,867.7,LoRa,125,SF12,4/5,on,2015-07-08 09:06:04,6,-96,10.8
1281,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:06:02,8,-105,6.2
1280,867.1,LoRa,125,SF7,4/5,on,2015-07-08 09:06:02,3,-95,10.8
1279,867.3,LoRa,125,SF8,4/5,on,2015-07-08 09:06:01,4,-98,11.2
1278,867.9,LoRa,125,SF9,4/5,on,2015-07-08 09:06:01,7,-112,7.2
1276,868.5,LoRa,125,SF11,4/5,on,2015-07-08 09:05:59,2,-100,9
1275,867.3,LoRa,125,SF12,4/5,on,2015-07-08 09:05:58,4,-105,10.5
1274,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:05:56,8,-100,9
1273,868.1,LoRa,125,SF7,4/5,on,2015-07-08 09:05:55,0,-101,7.5
1272,867.1,LoRa,125,SF8,4/5,on,2015-07-08 09:05:55,3,-102,10.2
1271,867.5,LoRa,125,SF9,4/5,on,2015-07-08 09:05:54,5,-110,6.5
1269,868.3,LoRa,125,SF11,4/5,on,2015-07-08 09:05:53,1,-108,10
1268,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:05:52,3,-100,11.5
1267,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:05:50,8,-109,3.5
1266,867.7,LoRa,125,SF7,4/5,on,2015-07-08 09:05:49,6,-106,8.5
1264,868.5,LoRa,125,SF9,4/5,on,2015-07-08 09:05:48,2,-110,8.8
1262,867.7,LoRa,125,SF11,4/5,on,2015-07-08 09:05:47,6,-118,9.2
1261,868.1,LoRa,125,SF12,4/5,on,2015-07-08 09:05:45,0,-104,2
1260,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:05:43,8,-108,-1.8
