Port,Time,Sequence #,Data
2,2015-07-08 12:32:52,432,0026d10c920358414044290415c600d8
2,2015-07-08 12:32:50,429,0026cd0c8c0365404044290415c600d8
2,2015-07-08 12:32:49,428,0026cc0c92035f404044290415c600d8
2,2015-07-08 12:32:44,422,0026cc0c8c03623d4044290415c600d8
2,2015-07-08 12:32:43,421,0026cd0c9203663d4044330415d200d7
2,2015-07-08 12:32:39,417,0026cc0c8c03643e4044330415d200d7
2,2015-07-08 12:32:32,409,0026cc0c8c03623d4044330415d200d7
2,2015-07-08 12:32:31,408,0026cb0c8c03673f4044600415f100d5
2,2015-07-08 12:32:24,400,0026cc0c8c036a3d4044600415f100d5
2,2015-07-08 12:32:20,396,0026cb0c8c03643e40448404161600d2
2,2015-07-08 12:32:17,393,0026ce0c8c03573f40448404161600d2
2,2015-07-08 12:32:13,388,0026cd0c86035c3f40448404161600d2
2,2015-07-08 12:32:12,387,0026cc0c86035b3f40447d04163700d0
2,2015-07-08 12:32:11,386,0026cc0c8c03633d40447d04163700d0
2,2015-07-08 12:32:06,380,0026cb0c8003704140447d04163700d0
2,2015-07-08 12:32:00,373,0026cb0c8003643e40447a04166000d0
2,2015-07-08 12:31:55,369,0026cb0c8003683d40447a04166000d0
2,2015-07-08 12:31:53,366,0026cb0c80036c4040447a04166000d0
2,2015-07-08 12:31:52,365,0026cc0c8003633e40447204169800d1
2,2015-07-08 12:31:09,317,0026c90c6d03773f40445804170e00d5
2,2015-07-08 12:30:17,260,0026cc0c5a03663d40440a0417e400db
2,2015-07-08 12:29:58,239,0026c90c4e037c3e4044320417f70104
2,2015-07-08 12:29:46,225,0026c90c4e03783e4044300417f80101
2,2015-07-08 12:29:39,218,0026c90c4e03823f40442604180400fd
2,2015-07-08 12:29:28,205,0026c90c4103713d40441604181e00f8
2,2015-07-08 12:29:27,204,0026cb0c4103753f40441604181e00f8
2,2015-07-08 12:29:22,198,0026c90c3b03773d40441d04182d00e7
2,2015-07-08 12:29:18,195,0026ca0c3b03763e40441d04182d00e7
2,2015-07-08 12:29:14,190,0026c90c3b03713d40441d04182d00e7
2,2015-07-08 12:29:12,188,0026c90c3b03783f40441d04182d00e7
2,2015-07-08 12:29:09,184,0026ca0c35037b3d000000000000ffff
2,2015-07-08 12:29:08,183,0026ca0c3b03763e000000000000ffff
2,2015-07-08 12:29:04,178,0026ca0c3503783f000000000000ffff
2,2015-07-08 12:29:03,177,0026c90c35037c3d000000000000ffff
2,2015-07-08 12:29:01,176,0026c90c3b03773e000000000000ffff
2,2015-07-08 12:28:37,149,0026c80c2803763f000000000000ffff
2,2015-07-08 12:28:36,148,0026ca0c2803773c000000000000ffff
2,2015-07-08 12:28:31,142,0026cb0c2203703c000000000000ffff
2,2015-07-08 12:28:23,134,0026ca0c2203733c000000000000ffff
2,2015-07-08 12:28:18,128,0026c90c1c037b3d000000000000ffff
2,2015-07-08 12:28:12,121,0026c80c0f03763f000000000000ffff
2,2015-07-08 12:28:11,120,0026cb0c15036a3d000000000000ffff
2,2015-07-08 12:28:08,118,0026cb0c15036e3e000000000000ffff
2,2015-07-08 12:28:05,113,0026cb0c1503723d000000000000ffff
2,2015-07-08 12:28:01,109,0026ca0c0f036d3f000000000000ffff
2,2015-07-08 12:27:55,103,0026c80c0f038a3e000000000000ffff
2,2015-07-08 12:27:54,101,0026c90c09037e3d000000000000ffff
2,2015-07-08 12:27:53,100,0026c80c0903873d000000000000ffff
2,2015-07-08 12:27:52,99,0026c90c0903803c000000000000ffff
2,2015-07-08 12:27:48,95,0026c90c0903833d000000000000ffff
2,2015-07-08 12:27:47,93,0026c90c0303803d000000000000ffff
2,2015-07-08 12:27:43,90,0026c90c03037f3e000000000000ffff
2,2015-07-08 12:27:43,89,0026c90c0303823e000000000000ffff
2,2015-07-08 12:27:42,88,0026c80c0303843e000000000000ffff
2,2015-07-08 12:27:39,85,0026ca0c03037a3d000000000000ffff
2,2015-07-08 12:27:37,83,0026c90c0303773e000000000000ffff
2,2015-07-08 12:27:34,79,0026ca0bf603713f000000000000ffff
2,2015-07-08 12:27:33,78,0026cb0bfc03703e000000000000ffff
2,2015-07-08 12:27:30,76,0026ca0bfc03773d000000000000ffff
2,2015-07-08 12:27:29,74,0026cb0bf603693d000000000000ffff
2,2015-07-08 12:27:28,72,0026cc0bf603643d000000000000ffff
2,2015-07-08 12:27:24,68,0026cd0bf003613e000000000000ffff
2,2015-07-08 12:27:23,67,0026cb0bf6035c3d000000000000ffff
2,2015-07-08 12:27:22,66,0026ce0bf603623f000000000000ffff
2,2015-07-08 12:27:22,65,0026cd0bf0035c3e000000000000ffff
2,2015-07-08 12:27:15,58,0026cc0bea03663f000000000000ffff
2,2015-07-08 12:27:10,52,0026cd0bea035d3e000000000000ffff
2,2015-07-08 12:27:09,51,0026cc0bea03663f000000000000ffff
2,2015-07-08 12:27:08,50,0026cc0bf003663d000000000000ffff
2,2015-07-08 12:27:05,47,0026cc0bea03613d000000000000ffff
2,2015-07-08 12:27:03,44,0026cb0be3036b3d000000000000ffff
2,2015-07-08 12:26:51,31,0026cb0be303703f000000000000ffff
2,2015-07-08 12:26:49,29,0026cc0be303753d000000000000ffff
2,2015-07-08 12:26:45,24,0026ca0bdd036c3f000000000000ffff
2,2015-07-08 12:26:42,22,0026cc0bdd03673d000000000000ffff
2,2015-07-08 12:26:38,17,0026cc0bdd036b3d000000000000ffff
2,2015-07-08 12:26:37,16,0026cb0bd7035f3d000000000000ffff
2,2015-07-08 12:26:36,15,0026cd0bdd03663d000000000000ffff
2,2015-07-08 12:26:32,10,0026cc0bd703673e000000000000ffff
2,2015-07-08 12:26:31,9,0026cb0bd703673c000000000000ffff
2,2015-07-08 12:26:27,5,0026ce0bd7035336000000000000ffff
2,2015-07-08 09:11:19,113,0026af0c54045540000000000000ffff
2,2015-07-08 09:11:15,108,0026af0c54045740000000000000ffff
2,2015-07-08 09:11:09,102,0026af0c4e045241000000000000ffff
2,2015-07-08 09:11:09,101,0026af0c54045440000000000000ffff
2,2015-07-08 09:11:08,100,0026af0c4e045342000000000000ffff
2,2015-07-08 09:11:02,93,0026af0c4e045c42000000000000ffff
2,2015-07-08 09:10:35,64,0026b00c4104503f000000000000ffff
2,2015-07-08 09:09:01,1478,0026bd0c3503ed4040463f041a0000e7
2,2015-07-08 09:08:56,1472,0026bc0c2e03f24140463f041a0000e7
2,2015-07-08 09:08:53,1469,0026bb0c2e03dd4140463f041a0000e7
2,2015-07-08 09:08:51,1466,0026bc0c2e03ec3e404636041a0100e3
2,2015-07-08 09:08:44,1458,0026ba0c2803ed40404636041a0100e3
2,2015-07-08 09:08:42,1457,0026bc0c2e03f340404629041a0200e3
2,2015-07-08 09:08:39,1454,0026bd0c2803f53e404629041a0200e3
2,2015-07-08 09:08:38,1452,0026bd0c2803f241404629041a0200e3
2,2015-07-08 09:08:31,1444,0026bb0c2203f74140461f041a0700e3
2,2015-07-08 09:08:25,1437,0026bd0c2203ed4240461f041a0700e3
2,2015-07-08 09:08:24,1436,0026bd0c2203f740404615041a0e00e7
2,2015-07-08 09:08:18,1430,0026bb0c1c03e541404615041a0e00e7
2,2015-07-08 09:08:17,1429,0026bc0c2803ed42404615041a0e00e7
2,2015-07-08 09:08:15,1427,0026bb0c2803df40404615041a0e00e7
2,2015-07-08 09:08:14,1425,0026bc0c2203e941404615041a0e00e7
2,2015-07-08 09:08:11,1422,0026bb0c2803f23f404608041a1500ec
2,2015-07-08 09:07:53,1402,0026ba0c1c03e8414045f1041a2300f2
2,2015-07-08 09:07:47,1395,0026be0c1c03ee3f4045f1041a2300f2
2,2015-07-08 09:07:42,1390,0026be0c1c03f7404045e3041a2900f8
2,2015-07-08 09:07:36,1384,0026ba0c1503f2404045e3041a2900f8
2,2015-07-08 09:07:36,1383,0026bc0c1503fa404045e3041a2900f8
2,2015-07-08 09:07:34,1381,0026bd0c1503f63e4045e3041a2900f8
2,2015-07-08 09:07:29,1375,0026bb0c1503e3424045d4041a2e00fa
2,2015-07-08 09:07:28,1374,0026bd0c1503f73f4045d4041a2e00fa
2,2015-07-08 09:07:14,1359,0026bb0c1503ea3f4045b5041a3900fe
2,2015-07-08 09:07:09,1353,0026ba0c0f03ee424045b5041a3900fe
2,2015-07-08 09:07:03,1346,0026b90c090404424045a9041a3a0100
2,2015-07-08 09:06:56,1339,0026bb0c0903fe424045a9041a3a0100
2,2015-07-08 09:06:50,1332,0026bb0c0903fe3f40459e041a4000fe
2,2015-07-08 09:06:44,1325,0026b90c0903ee4240459e041a4000fe
2,2015-07-08 09:06:42,1324,0026ba0c0f03ed3f404596041a4200fd
2,2015-07-08 09:06:39,1320,0026bb0c0903ee42404596041a4200fd
2,2015-07-08 09:06:38,1319,0026bb0c09040441404596041a4200fd
2,2015-07-08 09:06:37,1318,0026b90c03040240404596041a4200fd
2,2015-07-08 09:06:31,1311,0026ba0c0303f742404591041a3e00fe
2,2015-07-08 09:06:19,1298,0026ba0c0303ff41404586041a3e00fa
2,2015-07-08 09:06:18,1297,0026b90c0303ea3e404586041a3e00fa
2,2015-07-08 09:05:59,1276,0026ba0bfc03f24140456c041a3f00f5
2,2015-07-08 09:05:58,1275,0026bb0c0303e14040456c041a3f00f5
2,2015-07-08 09:05:47,1262,0026bc0bfc03fb4140455f041a3f00f1
2,2015-07-08 09:05:41,1256,0026ba0bfc03e63f404553041a4100f0
2,2015-07-08 09:05:22,1234,0026ba0bf603e94140453c041a4400ea
2,2015-07-08 09:05:17,1230,0026bd0bf603f34040453c041a4400ea
2,2015-07-08 09:05:16,1228,0026bb0bfc03fc4240453c041a4400ea
2,2015-07-08 09:05:14,1226,0026bc0bfc03f340404530041a4200e6
2,2015-07-08 09:05:09,1220,0026b90bf603e942404530041a4200e6
2,2015-07-08 09:04:37,1185,0026b90bf603ff414044b5041a4c00db
2,2015-07-08 09:04:31,1178,0026ba0bf604014240446e041a5000d9
2,2015-07-08 09:04:26,1173,0026bb0bf603f84040446e041a5000d9
2,2015-07-08 09:04:25,1172,0026bb0bf603f74040446e041a5000d9
2,2015-07-08 09:04:23,1170,0026bb0bfc03f94240443b041a5500d6
2,2015-07-08 09:04:18,1164,0026ba0bf603f74140443b041a5500d6
2,2015-07-08 09:04:11,1156,0026bc0bfc03f04340443b041a5600d6
2,2015-07-08 09:04:07,1151,0026bc0bf603eb4040443b041a5600d6
2,2015-07-08 09:03:58,1142,0026bc0bfc03eb3f40441f041a5800d8
2,2015-07-08 09:03:52,1135,0026bb0bfc03f63f4043d3041a5400d5
2,2015-07-08 09:03:47,1129,0026b90bf603fa3f4043d3041a5400d5
2,2015-07-08 09:03:42,1124,0026b80bfc040441404392041a3d00d3
2,2015-07-08 09:03:40,1122,0026b80bfc040742404392041a3d00d3
2,2015-07-08 09:03:33,1114,0026bb0bfc03f74040438f041a3c00d3
2,2015-07-08 09:03:29,1110,0026bc0bfc03f34240438f041a3c00d3
2,2015-07-08 09:03:28,1108,0026ba0bf604023f40438f041a3c00d3
2,2015-07-08 09:03:24,1106,0026bb0c0303f23e40438f041a3c00d3
2,2015-07-08 09:03:24,1104,0026ba0bfc03f24040438f041a3c00d3
2,2015-07-08 09:03:22,1102,0026bc0bfc03f74240438f041a3c00d3
2,2015-07-08 09:03:18,1098,0026bb0bfc03f94240438f041a3c00d3
2,2015-07-08 09:03:17,1097,0026ba0bfc03f84040438f041a3c00d3
2,2015-07-08 09:03:17,1096,0026bb0bfc03fa4340438f041a3c00d3
2,2015-07-08 09:03:16,1095,0026bb0bfc04024040438f041a3c00d3
2,2015-07-08 09:03:15,1094,0026ba0bf603f54140438f041a3c00d3
2,2015-07-08 09:03:14,1093,0026bb0c0303f33f40438f041a3c00d3
2,2015-07-08 09:03:12,1092,0026bb0c0303f74240438f041a3c00d3
2,2015-07-08 09:03:11,1091,0026bb0bfc03f84340438f041a3c00d3
2,2015-07-08 09:03:11,1090,0026ba0bfc03f84140438f041a3c00d3
2,2015-07-08 09:03:10,1089,0026bb0bf603f64040438f041a3c00d3
2,2015-07-08 09:03:10,1088,0026bb0bfc03fa3f40438f041a3c00d3
2,2015-07-08 09:03:05,1085,0026bc0c0303ed3f40438f041a3c00d3
2,2015-07-08 09:03:04,1082,0026bb0bfc03f64040438f041a3c00d3
2,2015-07-08 09:03:03,1081,0026bb0bfc03f94240438f041a3c00d3
2,2015-07-08 09:03:03,1080,0026ba0bfc03f64240438f041a3c00d3
2,2015-07-08 09:02:59,1077,0026bb0bfc03fa4040438f041a3c00d3
2,2015-07-08 09:02:58,1076,0026bb0bfc03fd4040438f041a3c00d3
2,2015-07-08 09:02:55,1072,0026ba0bfc03fa4240438f041a3c00d3
2,2015-07-08 09:02:52,1070,0026bb0bfc03f84040438f041a3c00d4
2,2015-07-08 09:02:52,1069,0026ba0bfc03fa3f40438f041a3c00d4
2,2015-07-08 09:02:51,1068,0026ba0bfc03f63f40438f041a3c00d4
2,2015-07-08 09:02:50,1066,0026bb0bfc03ff3f40438f041a3c00d4
2,2015-07-08 09:02:46,1064,0026bb0c0303f64140438f041a3c00d4
2,2015-07-08 09:02:46,1063,0026bb0bfc03f54240438f041a3c00d4
2,2015-07-08 09:02:45,1061,0026bb0bfc03fa4240438f041a3c00d4
2,2015-07-08 09:02:44,1059,0026ba0bfc03fe4140438f041a3c00d4
2,2015-07-08 09:02:42,1058,0026bb0bfc03f84140437a041a3300d5
2,2015-07-08 09:02:40,1057,0026bb0bfc03fa4040437a041a3300d5
2,2015-07-08 09:02:37,1052,0026ba0bfc03fa3f40437a041a3300d5
2,2015-07-08 09:02:33,1048,0026ba0c0303fa4240437a041a3300d5
2,2015-07-08 09:02:31,1045,0026ba0bf603fe41404351041a2300d6
2,2015-07-08 09:02:30,1044,0026bc0c0303f840404351041a2300d6
2,2015-07-08 09:02:25,1038,0026ba0bf603f742404351041a2300d6
2,2015-07-08 09:02:23,1037,0026bb0c0303f041404351041a2200d6
2,2015-07-08 09:02:20,1034,0026ba0bfc03f741404351041a2200d6
2,2015-07-08 09:02:19,1032,0026ba0bfc03f841404351041a2200d6
2,2015-07-08 09:02:18,1031,0026ba0bfc03f740404351041a2200d6
2,2015-07-08 09:02:17,1030,0026bc0bfc03f33f404351041a2200d6
2,2015-07-08 09:02:15,1029,0026bc0c0303f23f404351041a2200d6
2,2015-07-08 09:02:14,1028,0026bb0bfc03f042404351041a2200d6
2,2015-07-08 09:02:14,1027,0026bc0bfc03ef3f404351041a2200d6
2,2015-07-08 09:02:13,1026,0026bb0bfc03f53f404351041a2200d6
2,2015-07-08 09:02:12,1024,0026bb0bf603f442404340041a1f00d8
2,2015-07-08 09:02:11,1023,0026bd0bfc03f540404340041a1f00d8
2,2015-07-08 09:02:07,1019,0026bb0bf603f242404340041a1f00d8
2,2015-07-08 09:02:06,1017,0026bb0bfc03f23f404340041a1f00d8
2,2015-07-08 09:02:04,1016,0026bd0bfc03ec41404340041a1f00d8
2,2015-07-08 09:01:59,1010,0026bb0bfc03f14140433e041a1e00d8
2,2015-07-08 09:01:55,1006,0026bc0bfc03ed4240433e041a1e00d8
2,2015-07-08 09:01:53,1003,0026bb0bfc03f04140432e041a1a00d9
2,2015-07-08 09:01:48,998,0026bb0bfc03f64040432e041a1a00d9
2,2015-07-08 09:01:47,996,0026bc0bfc03e94040432e041a1a00d9
2,2015-07-08 09:01:43,993,0026bb0c0303ef4340432e041a1a00d9
2,2015-07-08 09:01:42,992,0026bb0bfc03f341404315041a0900da
2,2015-07-08 09:01:42,991,0026bb0bfc03ec42404315041a0900da
2,2015-07-08 09:01:39,988,0026bc0c0303f342404315041a0900da
2,2015-07-08 09:01:34,982,0026ba0bfc03f63f404315041a0900da
2,2015-07-08 09:01:26,974,0026bc0c0303f23e404319041a0400db
2,2015-07-08 09:01:24,972,0026bd0bfc03f73f404319041a0400db
2,2015-07-08 09:01:23,970,0026bb0bf603f342404319041a0400db
2,2015-07-08 09:01:22,969,0026bb0bfc03f642404318041a0400db
2,2015-07-08 09:01:21,968,0026bb0bfc03fa3e404318041a0400db
2,2015-07-08 09:01:20,967,0026bc0c0303f83f404318041a0400db
2,2015-07-08 09:01:18,965,0026bb0bfc03f341404318041a0400db
2,2015-07-08 09:01:17,964,0026bb0bfc03f643404318041a0400db
2,2015-07-08 09:01:17,963,0026bb0bfc03f341404318041a0400db
2,2015-07-08 09:01:16,962,0026bc0bfc03f240404318041a0400db
2,2015-07-08 09:01:15,961,0026ba0bfc03f042404318041a0400db
2,2015-07-08 09:01:14,960,0026bb0c0303f342404318041a0400db
2,2015-07-08 09:01:11,957,0026bb0bfc03ee40404318041a0400db
2,2015-07-08 09:01:10,955,0026bd0bfc03f042404318041a0400db
2,2015-07-08 09:01:09,954,0026bb0bf603f241404318041a0400db
2,2015-07-08 09:01:07,953,0026bc0c0303f240404318041a0400db
